,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Aspect,Slope,DBH,Bark,BAF,PIPO_L,PIPO_R,PIPO_G,POTR_L,POTR_R,POTR_G,PIEN_L,PIEN_R,PIEN_G,PSME_L,PSME_R,PSME_G,ABLA_L,ABLA_R,ABLA_G,PIED_L,PIED_R,PIED_G,QUGA_L,QUGA_R,QUGA_G,Jun_sp_L,Jun_sp_R,Jun_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,PIPO_5,PIPO_5d,POTR_5,POTR_5d,PIEN_5,PIEN_5d,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIED_5,PIED_5d,QUGA_5,PIPU_5,PIPU_5d,Jun_sp_5,Jun_sp_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,N_Cr,Height,p_bot.of.canopy.,p_top.of.canopy.,p_base.ref.,dist,three_cams,Notes,pic_N,pic_S,PIPO_r1,PIPO_r2,PIPO_r3,PIPO_r4,PIPO_reg_dead,POTR_r1,POTR_r2,POTR_r3,POTR_r4,POTR_reg_dead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rdead,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rt,PIEN_rdead,PIED_R1,PIED_r2,PIED_r3,PIED_r4,PIED_rdead,Jun_spR1,Jun_spr2,Jun_spr3,Jun_spr4,Jun_sprdead,other,BAI10yr
131,CO,PIPO,L,9,H,PIPO-L-9H,37.39235,108.30912,2250,SSE,3,33.8,3,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,80,70,70,0,70,10,10,0,10,80,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,5,5,1,1,4,15.08,25.2,69.7,-5.7,20,,private on burl guy's land,432,433,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,3,0,NA,0,1,1,0,NA,NA,480.0790833
132,CO,PIPO,L,9,L,PIPO-L-9L,37.39223,108.30914,2249,S,2,37.5,2.9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,55,30,30,0,30,25,25,0,25,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,5,0,0,5,5,2,13.158,13.7,71,-2.1,18,,private on burl guy's land,434,435,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,1,0,NA,0,1,0,1,NA,NA,594.886697
136,CO,PIPO,M,1,H,PIPO-M-01H,37.44,108.27736,2483,WSW,7,57.3,3.5,5,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,135,135,0,135,0,0,5,5,135,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,5,28.548,47.6,109,-0.8,26,y,,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1763.053246
135,CO,PIPO,M,1,L,PIPO-M-01L,37.44002,108.27715,2484,WSW,10,53.8,5,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,0,120,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29.736,31.1,71.9,1.1,42,y,,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1288.971034
153,CO,PIPO,M,10,H,PIPO-M-10H,37.42549,108.28567,2431,WSW,8,33.4,3,10,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,270,270,20,290,0,0,0,0,270,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,0,0,7,21.208,74.8,95.5,-0.9,22,n,,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,765.5454567
154,CO,PIPO,M,10,L,PIPO-M-10L,37.42528,108.28574,2425,WSW,10,36.8,3.3,10,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,90,90,20,110,0,0,0,0,90,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,19.7,63.1,-12.4,22,n,,NA,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,416.1523602
138,CO,PIPO,M,2,H,PIPO-M-2H,37.439067,108.27669,2495,S,7,47,4.6,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,0,130,0,0,0,0,130,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,4,27.066,63.4,107,2.9,26,y,,NA,NA,0,0,4,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1107.812439
137,CO,PIPO,M,2,L,PIPO-M-2L,37.43943,108.27662,2485,S,5,51,4.5,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,105,0,105,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.275,31.5,85,2.5,27,y,,NA,NA,0,4,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1141.914717
139,CO,PIPO,M,3,H,PIPO-M-3H,37.44008,108.27596,2497,S,10,41.2,3.8,5,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,135,145,10,145,0,0,0,0,135,10,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,9,8,0,0,4,23.405,45.5,80.7,5.2,31,y,,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,599.8691241
140,CO,PIPO,M,3,L,PIPO-M-3L,37.44014,108.27583,2498,S,7,43.5,3.3,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,115,0,115,0,0,0,0,115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,21.762,44.2,78.5,8.3,31,y,,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,512.4139377
142,CO,PIPO,M,4,H,PIPO-M-4H,37.43925,108.27466,2496,SSW,5,43.9,3.3,5,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,105,105,10,115,0,0,0,0,105,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10,8,0,0,3,24.476,39.9,67.8,-16.6,29,y,,NA,NA,0,0,0,0,"4,",0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,658.0453731
141,CO,PIPO,M,4,L,PIPO-M-4L,37.43881,108.27474,2489,SW,11,43.5,4.3,5,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,65,65,0,65,5,5,0,5,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,21.87,7.7,65.7,-15.3,27,y,,NA,NA,0,3,3,0,NA,4,2,3,0,"3,",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,1,0,NA,NA,1490.798127
143,CO,PIPO,M,5,H,PIPO-M-5H,37.4394,108.2761,2490,S,7,52.8,3.2,5,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,140,145,10,150,0,0,0,0,140,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,4,28.65,31.5,88,-7.5,30,y,in logging unit but saved,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1093.613206
144,CO,PIPO,M,5,L,PIPO-M-5L,37.43927,108.27594,2489,S,10,59,5.3,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,0,80,0,0,0,0,80,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,28.32,41.1,103,8.6,30,y,in logging unit but saved,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1218.936281
145,CO,PIPO,M,6,H,PIPO-M-6H,37.43092,108.28442,2457,SW,5,42.5,3.5,5,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,140,140,10,150,0,0,0,0,140,0,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,7,0,0,5,20.228,42,66.7,-11.1,26,n,in logging unit but saved,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,940.8313125
146,CO,PIPO,M,6,L,PIPO-M-6L,37.43105,108.28455,2458,SW,5,49.2,4.1,5,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,125,125,5,130,0,0,0,0,125,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,18.492,47,78.3,-2.1,23,n,in logging unit but saved,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,NA,0,0,0,0,NA,NA,794.9950843
147,CO,PIPO,M,7,H,PIPO-M-7H,37.42987,108.28416,2440,S,13,45.4,3.3,10,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,190,190,10,200,0,0,0,0,190,0,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,5,0,0,5,22.227,27.8,57.8,-13.9,31,n,in logging unit but saved,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1121.501633
148,CO,PIPO,M,7,L,PIPO-M-7L,37.42991,108.28429,2446,S,13,51.7,3.6,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,0,80,0,0,0,0,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,24.6,31.7,89,-9.4,25,y,in logging unit but saved,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,905.7322437
149,CO,PIPO,M,8,H,PIPO-M-8H,37.42738,108.28402,2456,S,3,58,4.8,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,0,120,0,0,0,0,120,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,4,25.137,29.7,86.6,-6.5,27,n,in logging unit but saved,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1252.873086
150,CO,PIPO,M,8,L,PIPO-M-8L,37.42748,108.28445,2450,S,5,56,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,0,70,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.025,34.8,97.1,-3,25,n,in logging unit but saved,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1520.039997
151,CO,PIPO,M,9,H,PIPO-M-9H,37.42665,108.28458,2449,S,3,32.6,2.2,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,135,0,135,0,0,0,0,135,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,6,23.483,72.3,98.6,-3.5,23,n,will be logged,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,475.6683052
152,CO,PIPO,M,9,L,PIPO-M-9L,37.42646,108.28452,2437,SW,3,34.4,2.8,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,0,85,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.2,42.1,69.1,-0.9,26,n,in logging unit but saved,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,458.4048983
